year,Base case diesel consumed,Modeled solar power (pv)
2016,88303.556313,86970.0289682
2017,88171.7599603,86848.9008343
2018,88171.7599603,86859.4837073
2019,88171.7599603,86869.9819173
2020,88171.7599603,86880.3961417
2021,88171.7599603,86890.7270522
2022,88039.9636076,86769.1789628
2023,88039.9636076,86779.3452399
2024,87908.1672549,86657.6338342
2025,87908.1672549,86667.6381015
2026,87908.1672549,86677.5623348
2027,87908.1672549,86687.4071741
2028,87908.1672549,86697.1732548
2029,88171.7599603,86970.4539122
2030,88303.556313,87111.8607133
2031,88303.556313,87121.3942781
2032,88303.556313,87130.8515744
2033,88171.7599603,87008.4368596
2034,88171.7599603,87017.7434444
2035,88171.7599603,87026.9755765
