year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,174186.992524,128898.374468
2018,174186.992524,128898.374468
2019,174186.992524,128898.374468
2020,174186.992524,128898.374468
2021,174186.992524,128898.374468
2022,174186.992524,128898.374468
2023,174186.992524,128898.374468
2024,174186.992524,128898.374468
2025,174186.992524,128898.374468
2026,174186.992524,128898.374468
2027,174186.992524,128898.374468
2028,174186.992524,128898.374468
2029,174186.992524,128898.374468
2030,174186.992524,128898.374468
2031,174186.992524,128898.374468
