year,Base case diesel consumed,Modeled residential energy efficiency
2017,103829.26467,70061.541522
2018,103829.26467,70061.541522
2019,105071.820482,71304.0973334
2020,105071.820482,71304.0973334
2021,106314.376293,72546.6531448
2022,106314.376293,72546.6531448
2023,107556.932104,73789.2089562
2024,107556.932104,73789.2089562
2025,108799.487916,75031.7647676
2026,108799.487916,75031.7647676
2027,110042.043727,76274.320579
2028,110042.043727,76274.320579
2029,110042.043727,76274.320579
2030,111284.599539,77516.8763905
2031,111284.599539,77516.8763905
