year,Base case cost,Modeled solar power (pv)
2016,174282.400624,186502.030461
2017,206623.352451,217944.413445
2018,231050.853365,241632.611699
2019,264284.299655,273982.80669
2020,280571.235211,289700.485363
2021,291146.931805,299822.787968
2022,298767.9638,307051.967909
2023,304419.703132,312354.893761
2024,308106.503433,315734.910349
2025,313742.27945,321037.784633
2026,320346.012877,327299.790307
2027,326206.000917,332842.496062
2028,330843.344103,337186.435264
2029,336448.644698,342489.136697
2030,340096.262316,345873.577731
2031,346917.677319,352390.312386
2032,353739.092323,358914.161818
2033,360560.507326,365444.97331
2034,368356.410187,372941.467152
2035,373228.849476,377567.893783
