year,Base case cost,Koyuk wind phase ii feasibility,Modeled wind power
2019,264284.299655,443634.97235,449838.025546
2020,280571.235211,452414.843171,457156.496336
2021,291146.931805,456644.540213,460303.836354
2022,298767.9638,458550.561653,461321.657634
2023,304419.703132,458939.991392,460955.26874
2024,308106.503433,457814.816117,459206.438915
2025,313742.27945,458383.180049,459036.889178
2026,320346.012877,459837.673074,459700.554821
2027,326206.000917,460816.118082,459958.161692
2028,330843.344103,460837.463126,459328.460099
2029,336448.644698,461738.479193,459524.922522
2030,340096.262316,461119.067616,458331.919861
2031,346917.677319,463229.379944,459691.65591
2032,353739.092323,465421.255877,461140.4487
2033,360560.507326,467692.783678,462676.210864
2034,368356.410187,470840.719672,465033.974518
2035,373228.849476,471668.748806,465263.46801
2036,380333.250529,474451.191606,467331.084688
2037,385209.317843,475429.473501,467724.301152
2038,392035.812083,478077.197717,469670.35375
