year,Base case diesel consumed,Modeled non-residential ashp
2017,24037.8049683,-28218.2928412
2018,24037.8049683,-28218.2928412
2019,24037.8049683,-28218.2928412
2020,24037.8049683,-28218.2928412
2021,24037.8049683,-28218.2928412
2022,24037.8049683,-28218.2928412
2023,24037.8049683,-28218.2928412
2024,24037.8049683,-28218.2928412
2025,24037.8049683,-28218.2928412
2026,24037.8049683,-28218.2928412
2027,24037.8049683,-28218.2928412
2028,24037.8049683,-28218.2928412
2029,24037.8049683,-28218.2928412
2030,24037.8049683,-28218.2928412
2031,24037.8049683,-28218.2928412
