year,Base case cost,Modeled diesel efficiency
2019,264284.299655,444121.822217
2020,280571.235211,454150.079598
2021,291146.931805,459098.286971
2022,298767.9638,461469.796455
2023,304419.703132,462157.837787
2024,308106.503433,461163.865281
2025,313742.27945,462043.539119
2026,320346.012877,463902.637503
2027,326206.000917,465182.735596
2028,330843.344103,465446.193551
2029,336448.644698,466682.245301
2030,340096.262316,466229.046198
2031,346917.677319,468749.458604
2032,353739.092323,471356.141469
2033,360560.507326,474047.072735
2034,368356.410187,477706.176138
2035,373228.849476,478787.930883
2036,380333.250529,481977.204415
2037,385209.317843,483217.343488
2038,392035.812083,486305.425766
