year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,13331.3040488,3385.18718161
2018,13334.061006,3385.88724937
2019,13336.9579462,3386.62286268
2020,13339.7911,3387.34227887
2021,13342.4196839,3388.00974909
2022,13344.9431137,3388.65051779
2023,13347.3045423,3389.25014989
2024,13349.6411503,3389.84347934
2025,13351.8327044,3390.3999756
2026,13353.8792047,3390.91963868
2027,13355.6273237,3391.3635345
2028,13357.1140255,3391.74104926
2029,13359.2981068,3392.29564795
2030,13361.0346162,3392.73659576
2031,13362.2374822,3393.04203675
