year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,60784.9,794216.24,490976.98,43068.91,437954.56,278710.67
2018,64130.98,837762.99,516934.3,44763.8,454859.7,289468.96
2019,68679.48,896986.57,558845.02,47062.18,477850.69,307301.29
2020,70961.83,926598.36,576707.23,48230.18,489346.19,314693.93
2021,72443.48,945758.92,595221.82,48997.06,496784.45,322805.3
2022,73524.78,959693.88,603726.97,49563.37,502194.09,326320.43
2023,74338.63,970145.1,617236.48,49994.7,506251.32,332348.09
2024,74885.63,977112.58,621538.76,50292.56,508956.15,334123.77
2025,75699.03,987563.8,635247.08,50722.54,513013.38,340223.9
2026,76645.41,999756.89,642863.05,51217.94,517746.82,343363.06
2027,77456.78,1010208.11,656807.45,51642.88,521804.05,349549.26
2028,78133.26,1018917.46,662309.56,51997.68,525185.08,351814.16
2029,78947.59,1029368.68,668912.08,52429.27,529242.31,354532.04
2030,79492.29,1036336.16,680916.58,52721.1,531947.14,359907.41
2031,80434.81,1048529.25,688706.5,53206.92,536680.58,363109.98
