year,Base case cost,Modeled water and wastewater efficiency
2017,81073.8012314,54496.999625
2018,85565.0917463,56836.8409542
2019,91470.2293962,59979.3631457
2020,94582.5608229,61548.5584251
2021,96855.8963535,62648.0562163
2022,98781.1250381,63555.052032
2023,100354.347517,64267.2895884
2024,101695.553888,64852.4697342
2025,103178.931623,65521.7807614
2026,104935.911036,66349.2912721
2027,106589.633644,67122.1482102
2028,107995.916776,67758.9605408
2029,109821.370968,68635.7730108
2030,111142.601134,69231.462491
2031,113012.42037,70139.9940157
