year,Base case cost,Modeled wind power
2019,464633.207647,660237.592236
2020,491680.658453,671834.176221
2021,509085.468434,676746.143518
2022,522744.259461,679270.674254
2023,532098.859784,678845.801799
2024,539083.468832,677003.13065
2025,547042.639783,675886.928096
2026,557577.75843,676696.156708
2027,567077.125222,677012.33231
2028,573603.555856,675293.788977
2029,583996.14669,676381.886871
2030,589144.310987,673955.047428
2031,599441.3858,675212.357042
2032,609684.732851,676543.667794
2033,619874.35214,677945.985959
2034,631295.978859,680303.234387
2035,637526.906802,679184.296553
2036,648462.745007,681290.881925
2037,654605.619118,680313.505011
2038,665414.600107,682517.466337
