year,annotation,Average Load
2003,,188.0
2004,,179.0
2005,,183.0
2006,,189.0
2007,,179.0
2008,,187.0
2009,,192.0
2010,,187.0
2011,,192.0
2012,,198.0
2013,,201.0
2014,,185.0
2015,,196.0
2016,start of forecast,194.0
2017,,193.0
2018,,193.0
2019,,193.0
2020,,192.0
2021,,192.0
2022,,192.0
2023,,191.0
2024,,191.0
2025,,190.0
2026,,190.0
2027,,190.0
2028,,189.0
2029,,189.0
2030,,188.0
2031,,188.0
2032,,188.0
2033,,187.0
2034,,187.0
2035,,186.0
2036,,186.0
2037,,185.0
2038,,185.0
2039,,184.0
2040,,184.0
