year,Base case diesel consumed,Modeled wind power
2019,132752.345042,94786.9437942
2020,132528.479367,94563.0781196
2021,132229.991801,94264.5905534
2022,132006.126127,94040.7248788
2023,131707.63856,93742.2373127
2024,131483.772886,93518.3716381
2025,131185.28532,93219.8840719
2026,130886.797753,92921.3965058
2027,130662.932079,92697.5308312
2028,130364.444513,92399.043265
2029,130065.956947,92100.5556989
2030,129767.46938,91802.0681328
2031,129468.981814,91503.5805666
2032,129170.494248,91205.0930005
2033,128872.006682,90906.6054343
2034,128573.519116,90608.1178682
2035,128275.03155,90309.630302
2036,127901.922092,89936.5208444
2037,127603.434526,89638.0332782
2038,127230.325068,89264.9238205
