year,Base case diesel consumed,Modeled solar power (pv)
2016,133498.563957,131665.244637
2017,133274.698283,131456.045517
2018,133050.832608,131246.729065
2019,132752.345042,130962.674327
2020,132528.479367,130753.126018
2021,132229.991801,130468.841279
2022,132006.126127,130259.064808
2023,131707.63856,129974.553733
2024,131483.772886,129764.552737
2025,131185.28532,129479.818932
2026,130886.797753,129194.975097
2027,130662.932079,128984.644003
2028,130364.444513,128699.582742
2029,130065.956947,128414.41407
2030,129767.46938,128129.138847
2031,129468.981814,127843.757925
2032,129170.494248,127558.27215
2033,128872.006682,127272.68236
2034,128573.519116,126986.989389
2035,128275.03155,126701.19406
