year,annotation,diesel generation efficiency
2002,,13.3
2003,,13.22
2004,,13.23
2005,,13.28
2006,,13.41
2007,,13.13
2008,,12.84
2009,,12.66
2010,,13.12
2011,,13.26
2012,,13.45
2013,,13.62
2014,,13.41
2015,,13.18
2016,start of forecast,13.4
2017,,13.4
2018,,13.4
2019,,13.4
2020,,13.4
2021,,13.4
2022,,13.4
2023,,13.4
2024,,13.4
2025,,13.4
2026,,13.4
2027,,13.4
2028,,13.4
2029,,13.4
2030,,13.4
2031,,13.4
2032,,13.4
2033,,13.4
2034,,13.4
2035,,13.4
2036,,13.4
2037,,13.4
2038,,13.4
2039,,13.4
2040,,13.4
