year,Base case cost,Modeled non-residential energy efficiency
2017,1000228.43602,983216.61021
2018,1056234.53705,1030397.04003
2019,1130909.33842,1094269.41343
2020,1166549.58453,1123434.93697
2021,1190309.7486,1142079.12769
2022,1208978.44895,1156247.31046
2023,1222555.68556,1165938.10133
2024,1232738.61302,1172661.8343
2025,1244618.69505,1180952.24606
2026,1259893.08624,1192319.73322
2027,1273470.32286,1202227.98055
2028,1283653.25032,1209164.07336
2029,1298927.64151,1220685.23879
2030,1307413.41439,1226208.50603
2031,1322687.80558,1237826.21437
