year,Base case diesel consumed,Modeled solar power (pv)
2016,130854.334997,129561.835938
2017,130713.47169,129431.312624
2018,130502.17673,129230.274936
2019,130361.313423,129099.586844
2020,130220.450116,128968.81735
2021,130290.88177,129049.262065
2022,130502.17673,129270.489983
2023,130924.76665,129702.933397
2024,130995.198304,129783.139717
2025,131065.629957,129863.267839
2026,130924.76665,129732.023429
2027,130854.334997,129671.133721
2028,130713.47169,129539.736025
2029,130502.17673,129337.83095
2030,130572.608383,129417.57737
2031,130502.17673,129356.385964
2032,130220.450116,129083.825677
2033,130079.586809,128952.055365
2034,129938.723503,128820.21231
2035,129868.291849,128758.728746
