year,Base case cost,Modeled solar power (pv)
2016,649037.501585,657436.021654
2017,739838.249766,747081.913776
2018,803893.408656,810257.780396
2019,889064.157545,894364.135533
2020,928471.809328,933165.185873
2021,955032.163371,959267.91078
2022,977461.303707,981298.670354
2023,995028.226543,998537.299416
2024,1006043.12297,1009268.09793
2025,1021001.25737,1023913.14773
2026,1035614.9042,1038209.28639
2027,1049451.76668,1051748.00652
2028,1060086.25541,1062115.0125
2029,1072727.89272,1074472.53554
2030,1082446.9235,1083960.53522
2031,1098828.32807,1100048.15671
2032,1112082.64399,1113027.01604
2033,1127790.01764,1128454.29083
2034,1143460.76682,1143851.61458
2035,1154529.11454,1154697.45363
