year,Base case cost,Modeled biomass for heat (cordwood)
2017,1316373.17218,1299204.75313
2018,1394778.17218,1355281.2909
2019,1498272.77218,1430058.02139
2020,1546883.87218,1464091.25711
2021,1578245.87218,1485352.74886
2022,1603335.47218,1502000.11551
2023,1620584.57218,1512866.69256
2024,1633129.37218,1520282.45828
2025,1650378.47218,1531239.57192
2026,1669195.67218,1543405.90747
2027,1686444.77218,1554449.36352
2028,1700557.67218,1563203.40146
2029,1717806.77218,1574329.20005
2030,1728783.47218,1580832.57303
2031,1749168.77218,1594367.9772
2032,,
2033,,
2034,,
2035,,
2036,,
