year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,130713.47,10628.12,156809.58,78937.52
2018,130502.18,10626.06,156809.58,78937.52
2019,130361.31,10624.78,156809.58,77858.19
2020,130220.45,10623.69,156809.58,77858.19
2021,130290.88,10624.27,156809.58,77858.19
2022,130502.18,10626.12,156809.58,78937.52
2023,130924.77,10630.37,156809.58,78937.52
2024,130995.2,10630.81,156809.58,78937.52
2025,131065.63,10631.47,156809.58,78937.52
2026,130924.77,10630.48,156809.58,78937.52
2027,130854.33,10629.89,156809.58,78937.52
2028,130713.47,10628.31,156809.58,78937.52
2029,130502.18,10626.57,156809.58,78937.52
2030,130572.61,10627.05,156809.58,78937.52
2031,130502.18,10626.2,156809.58,78937.52
2032,130220.45,,,77858.19
2033,130079.59,,,77858.19
2034,129938.72,,,77858.19
2035,129868.29,,,77858.19
2036,129727.43,,,76778.86
