year,Base case cost,Modeled water and wastewater efficiency
2017,194110.09887,167930.210744
2018,204533.379326,174485.212763
2019,218324.98369,183413.11048
2020,224786.738545,187232.204173
2021,228993.099615,189491.375707
2022,232401.1924,191209.012883
2023,234837.143012,192263.764109
2024,236528.03796,192810.755945
2025,238854.693154,193817.344624
2026,241339.347851,194948.08471
2027,243626.527502,195955.150602
2028,245462.240477,196659.836813
2029,247711.023029,197666.826804
2030,249193.313503,198152.2755
2031,251889.569345,199498.818536
