year,annotation,Average Load
2003,,158.0
2004,,164.0
2005,,160.0
2006,,161.0
2007,,168.0
2008,,218.0
2009,,203.0
2010,,200.0
2011,,199.0
2012,,203.0
2013,,204.0
2014,,193.0
2015,,195.0
2016,start of forecast,198.0
2017,,198.0
2018,,198.0
2019,,198.0
2020,,197.0
2021,,197.0
2022,,198.0
2023,,198.0
2024,,199.0
2025,,199.0
2026,,198.0
2027,,198.0
2028,,198.0
2029,,198.0
2030,,198.0
2031,,198.0
2032,,197.0
2033,,197.0
2034,,197.0
2035,,197.0
2036,,197.0
2037,,197.0
2038,,197.0
2039,,197.0
2040,,196.0
