year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,261697.03,6993.87,195139.91,27135.78
2018,261330.8,6995.71,195139.91,27135.78
2019,260964.57,6997.38,195139.91,27135.78
2020,260525.09,6999.33,195139.91,28085.33
2021,260232.11,7000.87,195139.91,28085.33
2022,260012.37,7001.73,195139.91,28085.33
2023,260012.37,7001.84,195139.91,28085.33
2024,259939.12,7002.32,195139.91,28085.33
2025,259719.38,7003.15,195139.91,29034.88
2026,259426.4,7004.59,195139.91,29034.88
2027,259206.66,7005.65,195139.91,29034.88
2028,259060.17,7006.41,195139.91,29034.88
2029,258254.46,7010.22,195139.91,29984.44
2030,257668.49,7013.24,195139.91,30933.99
2031,257155.76,7015.42,195139.91,30933.99
2032,257155.76,7015.37,195139.91,30933.99
2033,257302.26,7014.72,195139.91,30933.99
2034,257448.75,7014.23,195139.91,30933.99
2035,257375.5,7014.44,195139.91,30933.99
2036,257155.76,7015.68,195139.91,30933.99
2037,256643.04,7017.81,195139.91,30933.99
2038,256276.81,7019.71,195139.91,31883.54
2039,256057.07,7020.68,195139.91,31883.54
2040,255983.82,7021.02,195139.91,31883.54
