year,Base case diesel consumed,Modeled wind power
2019,260964.567453,194821.950981
2020,260525.090001,194382.473529
2021,260232.105033,194089.488561
2022,260012.366308,193869.749835
2023,260012.366308,193869.749835
2024,259939.120066,193796.503593
2025,259719.38134,193576.764867
2026,259426.396372,193283.7799
2027,259206.657646,193064.041174
2028,259060.165162,192917.54869
2029,258254.456501,192111.840028
2030,257668.486565,191525.870093
2031,257155.762871,191013.146399
2032,257155.762871,191013.146399
2033,257302.255355,191159.638883
2034,257448.747839,191306.131367
2035,257375.501597,191232.885125
2036,257155.762871,191013.146399
2037,256643.039177,190500.422705
2038,256276.807968,190134.191495
