year,Base case cost,Modeled transmission and interties
2021,1123291.88138,
2022,1150944.73946,
2023,1170835.68548,
2024,1186752.05266,
2025,1205357.6488,
2026,1227475.99443,
2027,1246524.81662,
2028,1262011.59459,
2029,1280167.34087,
2030,1290790.28345,
2031,1312008.70217,
2032,1336438.49964,
2033,1361000.2797,
2034,1387005.12898,
2035,1402567.79595,
2036,1427471.6397,
2037,1440152.41434,
2038,1463596.8503,
2039,1481802.2597,
2040,1509280.62041,
