year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,4162528.0,1822900.0,2339628.0
2004,,4460792.0,1660742.0,2800050.0
2005,,4332144.0,1754744.0,2577400.0
2006,,4720596.0,1828140.0,2892456.0
2007,,5244998.0,2014906.0,3230092.0
2008,,5761024.0,2187360.0,3573664.0
2009,,4788738.0,1987468.0,2801270.0
2010,,5298786.0,1951730.0,3347056.0
2011,,5857682.0,1943710.0,3913972.0
2012,,6794818.0,1894488.0,4900330.0
2013,,6550878.0,1655340.0,4895538.0
2014,start of forecast,6428989.0,1859042.0,4569947.0
2015,,6426654.0,1856708.0,4569947.0
2016,,6422107.0,1852161.0,4569947.0
2017,,6418238.0,1848291.0,4569947.0
2018,,6413827.0,1843880.0,4569947.0
2019,,6409808.0,1839861.0,4569947.0
2020,,6405113.0,1835167.0,4569947.0
2021,,6401397.0,1831451.0,4569947.0
2022,,6399317.0,1829370.0,4569947.0
2023,,6399072.0,1829126.0,4569947.0
2024,,6397912.0,1827965.0,4569947.0
2025,,6395895.0,1825948.0,4569947.0
2026,,6392449.0,1822503.0,4569947.0
2027,,6389895.0,1819948.0,4569947.0
2028,,6388056.0,1818110.0,4569947.0
2029,,6378895.0,1808949.0,4569947.0
2030,,6371625.0,1801678.0,4569947.0
2031,,6366375.0,1796429.0,4569947.0
2032,,6366479.0,1796532.0,4569947.0
2033,,6368040.0,1798093.0,4569947.0
2034,,6369232.0,1799285.0,4569947.0
2035,,6368726.0,1798779.0,4569947.0
2036,,6365739.0,1795792.0,4569947.0
2037,,6360603.0,1790656.0,4569947.0
2038,,6356028.0,1786082.0,4569947.0
2039,,6353699.0,1783753.0,4569947.0
2040,,6352885.0,1782939.0,4569947.0
