year,Base case diesel consumed,"Iliamna (unnamed stream, site #1) -- unnamed creek"
2021,260232.105033,257726.338991
2022,260012.366308,257506.600265
2023,260012.366308,257506.600265
2024,259939.120066,257433.354023
2025,259719.38134,257213.615297
2026,259426.396372,256920.630329
2027,259206.657646,256700.891604
2028,259060.165162,256554.39912
2029,258254.456501,255748.690458
2030,257668.486565,255162.720522
2031,257155.762871,254649.996829
2032,257155.762871,254649.996829
2033,257302.255355,254796.489313
2034,257448.747839,254942.981797
2035,257375.501597,254869.735555
2036,257155.762871,254649.996829
2037,256643.039177,254137.273135
2038,256276.807968,253771.041925
2039,256057.069242,253551.303199
2040,255983.823,253478.056957
2041,255910.576758,253404.810715
2042,255764.084274,253258.318232
2043,255471.099306,252965.333264
2044,255104.868096,252599.102054
2045,254738.636887,252232.870844
2046,254518.898161,252013.132118
2047,254299.159435,251793.393392
2048,254079.420709,251573.654667
2049,253859.681983,251353.915941
2050,253420.204531,250914.438489
2051,253420.204531,250914.438489
2052,253420.204531,250914.438489
2053,253420.204531,250914.438489
2054,253420.204531,250914.438489
2055,253420.204531,250914.438489
2056,253420.204531,250914.438489
2057,253420.204531,250914.438489
2058,253420.204531,250914.438489
2059,253420.204531,250914.438489
2060,253420.204531,250914.438489
2061,253420.204531,250914.438489
2062,253420.204531,250914.438489
2063,253420.204531,250914.438489
2064,253420.204531,250914.438489
2065,253420.204531,250914.438489
2066,253420.204531,250914.438489
2067,253420.204531,250914.438489
2068,253420.204531,250914.438489
2069,253420.204531,250914.438489
2070,253420.204531,250914.438489
