year,Base case diesel consumed,Modeled diesel efficiency
2019,260964.567453,237240.515866
2020,260525.090001,236840.99091
2021,260232.105033,236574.640939
2022,260012.366308,236374.878461
2023,260012.366308,236374.878461
2024,259939.120066,236308.290969
2025,259719.38134,236108.528491
2026,259426.396372,235842.17852
2027,259206.657646,235642.416042
2028,259060.165162,235509.241056
2029,258254.456501,234776.778637
2030,257668.486565,234244.078695
2031,257155.762871,233777.966247
2032,257155.762871,233777.966247
2033,257302.255355,233911.141232
2034,257448.747839,234044.316217
2035,257375.501597,233977.728725
2036,257155.762871,233777.966247
2037,256643.039177,233311.853798
2038,256276.807968,232978.916334
