year,Base case diesel consumed,Modeled solar power
2020,260525.090001,255648.319057
2021,260232.105033,255394.348257
2022,260012.366308,255213.311585
2023,260012.366308,255251.704023
2024,259939.120066,255216.543079
2025,259719.38134,255034.584969
2026,259426.396372,254779.078372
2027,259206.657646,254596.518191
2028,259060.165162,254486.906822
2029,258254.456501,253717.784227
2030,257668.486565,253168.10767
2031,257155.762871,252691.387007
2032,257155.762871,252727.102014
2033,257302.255355,252909.023785
2034,257448.747839,253090.662122
2035,257375.501597,253052.280565
2036,257155.762871,252867.127608
2037,256643.039177,252388.712996
2038,256276.807968,252056.516396
2039,256057.069242,251870.540002
