year,Base case cost,"Iliamna (unnamed stream, site #1) -- unnamed creek"
2021,1123291.88138,1307673.0776
2022,1150944.73946,1331311.41214
2023,1170835.68548,1347351.78489
2024,1186752.05266,1359535.40519
2025,1205357.6488,1374463.0612
2026,1227475.99443,1392951.78206
2027,1246524.81662,1408480.62683
2028,1262011.59459,1420559.71175
2029,1280167.34087,1435332.36085
2030,1290790.28345,1442721.52518
2031,1312008.70217,1460688.80785
2032,1336438.49964,1481933.12172
2033,1361000.2797,1503384.69571
2034,1387005.12898,1526334.91062
2035,1402567.79595,1538990.6796
2036,1427471.6397,1560963.23289
2037,1440152.41434,1570868.67347
2038,1463596.8503,1591511.50842
2039,1481802.2597,1607028.80284
2040,1509280.62041,1631803.47211
2041,1508848.76056,1628971.77395
2042,1507985.04088,1625764.46217
2043,1506257.60151,1621748.35862
2044,1504098.3023,1617354.0358
2045,1501939.00308,1613012.09636
2046,1500643.42356,1609585.03223
2047,1499347.84403,1606207.92478
2048,1498052.2645,1602879.60312
2049,1496756.68497,1599598.92386
2050,1494165.52592,1595069.19085
2051,1494165.52592,1593176.05223
2052,1494165.52592,1591327.28403
2053,1494165.52592,1589521.84636
2054,1494165.52592,1587758.72362
2055,1494165.52592,1586036.92407
2056,1494165.52592,1584355.47919
2057,1494165.52592,1582713.44318
2058,1494165.52592,1581109.8924
2059,1494165.52592,1579543.92483
2060,1494165.52592,1578014.65961
2061,1494165.52592,1576521.23657
2062,1494165.52592,1575062.81561
2063,1494165.52592,1573638.5764
2064,1494165.52592,1572247.7178
2065,1494165.52592,1570889.45747
2066,1494165.52592,1569563.03132
2067,1494165.52592,1568267.69332
2068,1494165.52592,1567002.71478
2069,1494165.52592,1565767.3842
2070,1494165.52592,1564561.00667
