year,Base case cost,Modeled solar power
2020,1085738.31258,1103042.85221
2021,1123291.88138,1139240.06557
2022,1150944.73946,1165752.91301
2023,1170835.68548,1184688.94354
2024,1186752.05266,1199739.04631
2025,1205357.6488,1217438.46841
2026,1227475.99443,1238602.43633
2027,1246524.81662,1256778.97152
2028,1262011.59459,1271482.79567
2029,1280167.34087,1288770.43722
2030,1290790.28345,1298694.22834
2031,1312008.70217,1319052.55323
2032,1336438.49964,1342631.281
2033,1361000.2797,1366372.82789
2034,1387005.12898,1391552.73964
2035,1402567.79595,1406465.35198
2036,1427471.6397,1430566.09913
2037,1440152.41434,1442636.9148
2038,1463596.8503,1465322.33594
2039,1481802.2597,1482884.94072
