year,Base case cost,Modeled wind power
2019,1031723.41743,1256480.67037
2020,1085738.31258,1289476.0748
2021,1123291.88138,1309881.60332
2022,1150944.73946,1322788.41609
2023,1170835.68548,1330020.69781
2024,1186752.05266,1334262.68702
2025,1205357.6488,1340652.74625
2026,1227475.99443,1349897.26074
2027,1246524.81662,1356986.7703
2028,1262011.59459,1361537.13893
2029,1280167.34087,1367634.73965
2030,1290790.28345,1368228.1007
2031,1312008.70217,1377329.57204
2032,1336438.49964,1389663.47525
2033,1361000.2797,1402428.26081
2034,1387005.12898,1416480.68552
2035,1402567.79595,1422269.49597
2036,1427471.6397,1435321.74607
2037,1440152.41434,1438604.1518
2038,1463596.8503,1450593.82555
