year,Base case diesel consumed,Modeled non-residential ashp
2017,13152.5224476,-7569.15994139
2018,13152.5224476,-7569.15994139
2019,12499.5542376,-8222.12815134
2020,12499.5542376,-8222.12815134
2021,12499.5542376,-8222.12815134
2022,11846.5860277,-8875.0963613
2023,11846.5860277,-8875.0963613
2024,11193.6178177,-9528.06457125
2025,11193.6178177,-9528.06457125
2026,10540.6496078,-10181.0327812
2027,10540.6496078,-10181.0327812
2028,9887.6813978,-10834.0009912
2029,9234.71318785,-11486.9692011
2030,9234.71318785,-11486.9692011
2031,8581.7449779,-12139.9374111
