year,Base case cost,Loud creek hydro_akutan,Akutan (north creek),"Akutan (unnamed stream, site #1) -- unnamed creek, 1","Akutan (unnamed stream, site #2) -- unnamed creek, 2",Loud creek (akutan)
2021,95437.8201369,603461.336846,251253.184849,1602801.18448,161766.084696,1414855.11878
2022,98146.9783969,602705.379682,250627.910536,1600135.45604,161841.909067,1414217.10254
2023,100340.206964,602378.524305,250396.097231,1598419.6761,162119.985716,1413976.02237
2024,101929.783198,601763.027087,249863.761828,1596588.8699,162033.804021,1413435.57846
2025,104115.944768,601429.104712,249624.881526,1594866.02296,162304.813672,1413187.4313
2026,106230.860402,600708.925908,249011.625054,1592583.30402,162265.183397,1412563.74961
2027,108409.954974,600367.936535,248765.677755,1590853.39009,162529.126051,1412308.53545
2028,109958.895972,599711.804081,248192.707115,1588981.94864,162402.30912,1411727.45631
2029,112402.426994,599320.240665,247908.066031,1587027.8451,162691.294232,1411432.39001
2030,113660.430302,598688.181014,247347.287935,1585354.09202,162512.933601,1410864.66177
2031,115986.779903,597864.425684,246642.335196,1582794.18099,162445.343304,1410148.12545
2032,118295.46201,597023.00286,245919.714964,1580216.60247,162360.085512,1409413.92165
2033,120983.995237,596561.431156,245576.945852,1578018.87506,162654.678841,1409059.56896
2034,123534.146052,595646.466546,244792.664092,1575194.13918,162571.495767,1408262.54527
2035,124996.516329,594903.763372,244133.122732,1573236.12701,162358.108115,1407594.8954
2036,127511.332155,593953.463774,243313.505985,1570376.05614,162239.590053,1406762.53672
2037,128680.114618,593232.183278,242663.507044,1568613.08223,161972.008577,1406105.58764
2038,131598.632682,592685.585918,242247.592534,1566156.7136,162257.192752,1405676.93119
2039,133540.406875,591792.265673,241461.194621,1563700.85322,162044.421036,1404880.10806
2040,136256.939547,590728.672427,240540.164486,1560553.87313,161888.22583,1403945.17764
2041,135800.234828,590271.967708,240083.459766,1560097.16841,161431.521111,1403488.47292
2042,135800.234828,590271.967708,240083.459766,1560097.16841,161431.521111,1403488.47292
2043,135343.530108,589815.262989,239626.755047,1559640.46369,160974.816392,1403031.7682
2044,134886.825389,589358.55827,239170.050328,1559183.75897,160518.111673,1402575.06348
2045,134430.12067,588901.853551,238713.345609,1558727.05425,160061.406954,1402118.35876
2046,134430.12067,588901.853551,238713.345609,1558727.05425,160061.406954,1402118.35876
2047,133973.415951,588445.148831,238256.64089,1558270.34954,159604.702234,1401661.65404
2048,133516.711232,587988.444112,237799.936171,1557813.64482,159147.997515,1401204.94932
2049,133060.006513,587531.739393,237343.231452,1557356.9401,158691.292796,1400748.2446
2050,133060.006513,587531.739393,237343.231452,1557356.9401,158691.292796,1400748.2446
