year,Base case diesel consumed,Loud creek hydro_akutan,Akutan (north creek),"Akutan (unnamed stream, site #1) -- unnamed creek, 1","Akutan (unnamed stream, site #2) -- unnamed creek, 2",Loud creek (akutan)
2021,27503.694564,0.0,0.0,0.0,4546.80551945,0.0
2022,27415.3570941,-88.3374698535,-88.3374698535,-88.3374698535,4458.4680496,-88.3374698535
2023,27415.3570941,-88.3374698535,-88.3374698535,-88.3374698535,4458.4680496,-88.3374698535
2024,27327.0196242,-176.674939707,-176.674939707,-176.674939707,4370.13057974,-176.674939707
2025,27327.0196242,-176.674939707,-176.674939707,-176.674939707,4370.13057974,-176.674939707
2026,27238.6821544,-265.012409561,-265.012409561,-265.012409561,4281.79310989,-265.012409561
2027,27238.6821544,-265.012409561,-265.012409561,-265.012409561,4281.79310989,-265.012409561
2028,27150.3446845,-353.349879414,-353.349879414,-353.349879414,4193.45564004,-353.349879414
2029,27150.3446845,-353.349879414,-353.349879414,-353.349879414,4193.45564004,-353.349879414
2030,27062.0072147,-441.687349268,-441.687349268,-441.687349268,4105.11817018,-441.687349268
2031,26973.6697448,-530.024819121,-530.024819121,-530.024819121,4016.78070033,-530.024819121
2032,26885.332275,-618.362288975,-618.362288975,-618.362288975,3928.44323048,-618.362288975
2033,26885.332275,-618.362288975,-618.362288975,-618.362288975,3928.44323048,-618.362288975
2034,26796.9948051,-706.699758828,-706.699758828,-706.699758828,3840.10576062,-706.699758828
2035,26708.6573353,-795.037228682,-795.037228682,-795.037228682,3751.76829077,-795.037228682
2036,26620.3198654,-883.374698535,-883.374698535,-883.374698535,3663.43082092,-883.374698535
2037,26531.9823956,-971.712168389,-971.712168389,-971.712168389,3575.09335106,-971.712168389
2038,26531.9823956,-971.712168389,-971.712168389,-971.712168389,3575.09335106,-971.712168389
2039,26443.6449257,-1060.04963824,-1060.04963824,-1060.04963824,3486.75588121,-1060.04963824
2040,26355.3074559,-1148.3871081,-1148.3871081,-1148.3871081,3398.41841136,-1148.3871081
2041,26266.969986,-1236.72457795,-1236.72457795,-1236.72457795,3310.0809415,-1236.72457795
2042,26266.969986,-1236.72457795,-1236.72457795,-1236.72457795,3310.0809415,-1236.72457795
2043,26178.6325161,-1325.0620478,-1325.0620478,-1325.0620478,3221.74347165,-1325.0620478
2044,26090.2950463,-1413.39951766,-1413.39951766,-1413.39951766,3133.4060018,-1413.39951766
2045,26001.9575764,-1501.73698751,-1501.73698751,-1501.73698751,3045.06853194,-1501.73698751
2046,26001.9575764,-1501.73698751,-1501.73698751,-1501.73698751,3045.06853194,-1501.73698751
2047,25913.6201066,-1590.07445736,-1590.07445736,-1590.07445736,2956.73106209,-1590.07445736
2048,25825.2826367,-1678.41192722,-1678.41192722,-1678.41192722,2868.39359224,-1678.41192722
2049,25736.9451669,-1766.74939707,-1766.74939707,-1766.74939707,2780.05612238,-1766.74939707
2050,25736.9451669,-1766.74939707,-1766.74939707,-1766.74939707,2780.05612238,-1766.74939707
