year,Base case diesel consumed,Modeled wind power
2019,191753.487246,159529.216394
2020,191753.487246,159529.216394
2021,191821.436746,159597.165893
2022,191821.436746,159597.165893
2023,191821.436746,159597.165893
2024,191821.436746,159597.165893
2025,191821.436746,159597.165893
2026,191821.436746,159597.165893
2027,191889.386245,159665.115393
2028,191889.386245,159665.115393
2029,191957.335744,159733.064892
2030,191957.335744,159733.064892
2031,191957.335744,159733.064892
2032,192025.285244,159801.014391
2033,192093.234743,159868.963891
2034,192093.234743,159868.963891
2035,192093.234743,159868.963891
2036,192093.234743,159868.963891
2037,192093.234743,159868.963891
2038,192093.234743,159868.963891
