year,annotation,Average Load
2003,,911.0
2004,,799.0
2005,,480.0
2006,,732.0
2007,,842.0
2008,,635.0
2009,,502.0
2010,,512.0
2011,,512.0
2012,,525.0
2013,,497.0
2014,start of forecast,512.0
2015,,512.0
2016,,512.0
2017,,513.0
2018,,513.0
2019,,513.0
2020,,513.0
2021,,513.0
2022,,513.0
2023,,513.0
2024,,513.0
2025,,513.0
2026,,513.0
2027,,514.0
2028,,514.0
2029,,514.0
2030,,514.0
2031,,514.0
2032,,514.0
2033,,514.0
2034,,514.0
2035,,514.0
2036,,514.0
2037,,514.0
2038,,514.0
2039,,514.0
2040,,514.0
