year,Base case cost,Modeled diesel efficiency
2019,1738899.14894,2006382.09554
2020,1841549.34139,2099700.45231
2021,1917634.76711,2168869.02115
2022,1970902.39953,2217294.14153
2023,2006414.15448,2249577.55511
2024,2037486.94005,2277825.542
2025,2072998.695,2310108.95559
2026,2117746.39526,2350788.6831
2027,2158068.63584,2387445.26545
2028,2190261.97451,2416711.93696
2029,2230623.24306,2453403.99928
2030,2257284.07863,2477641.12253
2031,2302107.58322,2518389.76307
2032,2346946.09857,2559152.04975
2033,2395840.80896,2603601.78646
2034,2445148.31519,2648426.79213
2035,2476268.38466,2676717.76437
2036,2525171.35096,2721175.00647
2037,2555859.86113,2749073.65208
2038,2604314.75631,2793123.55678
