year,Base case cost,Modeled solar power (pv)
2016,1138886.24524,1169614.88408
2017,1356487.30991,1384976.37094
2018,1516587.42018,1543491.19253
2019,1738899.14894,1763584.21101
2020,1841549.34139,1865314.55896
2021,1917634.76711,1940774.36038
2022,1970902.39953,1993657.70841
2023,2006414.15448,2028975.21976
2024,2037486.94005,2059903.50889
2025,2072998.695,2095229.5484
2026,2117746.39526,2139706.79132
2027,2158068.63584,2179808.49683
2028,2190261.97451,2211873.92865
2029,2230623.24306,2252023.78822
2030,2257284.07863,2278607.46435
2031,2302107.58322,2323185.30886
2032,2346946.09857,2367783.55319
2033,2395840.80896,2416401.19595
2034,2445148.31519,2465437.55722
2035,2476268.38466,2496458.10346
