year,Base case diesel consumed,Modeled wind power
2019,443596.721669,382790.208123
2020,443746.82925,382940.315704
2021,443896.936831,383090.423285
2022,443896.936831,383090.423285
2023,443896.936831,383090.423285
2024,443896.936831,383090.423285
2025,443896.936831,383090.423285
2026,443971.990621,383165.477075
2027,444047.044412,383240.530865
2028,444272.205783,383465.692236
2029,444347.259573,383540.746027
2030,444347.259573,383540.746027
2031,444422.313363,383615.799817
2032,444497.367154,383690.853608
2033,444497.367154,383690.853608
2034,444572.420944,383765.907398
2035,444572.420944,383765.907398
2036,444572.420944,383765.907398
2037,444497.367154,383690.853608
2038,444422.313363,383615.799817
