year,Base case diesel consumed,Modeled transmission and interties
2021,893290.212837,446645.106419
2022,893290.212837,446645.106419
2023,893290.212837,446645.106419
2024,893290.212837,446645.106419
2025,893290.212837,446645.106419
2026,893440.320418,446720.160209
2027,893590.427999,446795.213999
2028,894040.750741,447020.37537
2029,894190.858321,447095.429161
2030,894190.858321,447095.429161
2031,894340.965902,447170.482951
2032,894491.073483,447245.536741
2033,894491.073483,447245.536741
2034,894641.181064,447320.590532
2035,894641.181064,447320.590532
2036,894641.181064,447320.590532
2037,894491.073483,447245.536741
2038,894340.965902,447170.482951
2039,894340.965902,447170.482951
2040,894190.858321,447095.429161
