year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,122629.0,90673.802378
2018,122629.0,90673.802378
2019,122629.0,90673.802378
2020,122629.0,90673.802378
2021,122629.0,90673.802378
2022,122629.0,90673.802378
2023,122629.0,90673.802378
2024,122629.0,90673.802378
2025,122629.0,90673.802378
2026,122629.0,90673.802378
2027,122629.0,90673.802378
2028,122629.0,90673.802378
2029,122629.0,90673.802378
2030,122629.0,90673.802378
2031,122629.0,90673.802378
2032,,
2033,,
2034,,
2035,,
2036,,
