year,Base case cost,Modeled residential energy efficiency
2017,451037.764129,567048.070189
2018,540004.103275,638604.756538
2019,658148.503725,734805.477542
2020,719707.547294,783847.392991
2021,768015.470439,821868.715619
2022,802890.988666,847839.20214
2023,834915.442182,872337.563831
2024,855653.467286,886502.736289
2025,888564.293501,912098.908431
2026,919049.372861,934948.217228
2027,949853.616913,959062.583325
2028,974825.518656,977441.898008
2029,1012797.5027,1008070.03887
2030,1032019.86077,1021733.87105
2031,1064238.29118,1046791.85131
2032,1106877.48963,1081935.95182
2033,1146937.3738,1115010.28306
2034,1183744.22993,1144492.83929
2035,1214904.03821,1170103.28969
2036,1260005.38303,1208043.22036
