year,Base case cost,Modeled solar power (pv)
2016,1047842.92491,1119140.97424
2017,1255927.71171,1322686.33733
2018,1414775.98167,1477809.40198
2019,1632364.38617,1690952.89349
2020,1737125.65421,1792928.80182
2021,1816414.5662,1869845.79644
2022,1880343.60876,1931665.84257
2023,1928344.11441,1977814.13719
2024,1965753.37098,2013552.63627
2025,2014527.93686,2060558.64871
2026,2069152.90699,2113387.87332
2027,2113618.61067,2156234.32913
2028,2158452.70562,2199487.31728
2029,2212356.24285,2251713.89892
2030,2245081.66753,2283065.12659
2031,2301202.1308,2337582.88727
2032,2364612.9404,2399362.97554
2033,2423583.31949,2456804.31207
2034,2489069.98467,2520733.37111
2035,2531698.84853,2562094.03818
