year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.38,1.45
2004,,1.46,
2005,,2.08,1.45
2006,,2.62,1.45
2008,,,1.53
2009,,3.03,1.5
2010,,3.83,1.5
2011,,4.43,1.5
2012,,3.96,1.5
2013,,4.26,4.03
2014,,4.17,4.4
2016,start of forecast,2.05,2.05
2017,,2.44,2.44
2018,,2.73,2.73
2019,,3.13,3.13
2020,,3.31,3.31
2021,,3.44,3.44
2022,,3.54,3.54
2023,,3.61,3.61
2024,,3.66,3.66
2025,,3.73,3.73
2026,,3.81,3.81
2027,,3.87,3.87
2028,,3.93,3.93
2029,,4.01,4.01
2030,,4.05,4.05
2031,,4.13,4.13
2032,,4.22,4.22
2033,,4.3,4.3
2034,,4.39,4.39
2035,,4.44,4.44
2036,,4.53,4.53
2037,,4.58,4.58
2038,,4.67,4.67
2039,,4.74,4.74
2040,,4.84,4.84
