year,Base case cost,Modeled diesel efficiency
2019,1632364.38617,1988956.71384
2020,1737125.65421,2072358.54844
2021,1816414.5662,2132881.09451
2022,1880343.60876,2179711.02018
2023,1928344.11441,2212325.00587
2024,1965753.37098,2235568.93103
2025,2014527.93686,2269397.24832
2026,2069152.90699,2308790.49456
2027,2113618.61067,2339188.64911
2028,2158452.70562,2370156.67068
2029,2212356.24285,2409599.09873
2030,2245081.66753,2430012.77818
2031,2301202.1308,2471913.50353
2032,2364612.9404,2520655.51676
2033,2423583.31949,2565569.46658
2034,2489069.98467,2616611.11336
2035,2531698.84853,2647071.96459
2036,2597254.95254,2698570.12065
2037,2639647.72438,2729200.50599
2038,2705855.09154,2781665.87888
