year,Base case diesel consumed,Wainwright wind turbine design,Modeled wind power
2019,521522.168106,419400.155465,359727.299167
2020,524811.375894,422689.363252,363016.506955
2021,528027.490175,425905.477534,366232.621236
2022,531170.51095,429048.498309,369375.642011
2023,534167.344712,432045.332071,372372.475773
2024,537091.084968,434969.072326,375296.216029
2025,540087.91873,437965.906088,378293.049791
2026,543084.752492,440962.73985,381289.883553
2027,546154.67976,444032.667119,384359.810821
2028,549224.607029,447102.594387,387429.73809
2029,551709.786246,449587.773605,389914.917307
2030,554341.152476,452219.139835,392546.283537
2031,557191.799225,455069.786584,395396.930286
2032,560334.82,458212.807359,398539.951061
2033,563624.027788,461502.015147,401829.158849
2034,566986.329082,464864.316441,405191.460143
2035,570202.443363,468080.430722,408407.574424
2036,573345.464138,471223.451497,411550.595199
2037,576342.2979,474220.285259,414547.428961
2038,579412.225168,477290.212527,417617.356229
