year,Base case cost,Modeled water and wastewater efficiency
2017,29282.7817559,54548.3317814
2018,38574.7853452,60311.7485273
2019,51398.7757648,68603.952598
2020,57197.0751722,71924.3933321
2021,61401.3697989,74131.1906216
2022,64647.5463704,75675.675291
2023,66934.8352545,76556.8255593
2024,68580.8736653,76999.9012387
2025,70873.8306407,77919.4953135
2026,73489.8215731,79085.2165286
2027,75467.8144132,79813.8763549
2028,77448.1118497,80560.0188202
2029,80066.2814642,81774.9671593
2030,81400.026389,82092.5155629
2031,84027.8778047,83344.1073659
