year,Base case diesel consumed,Modeled solar power (pv)
2016,511142.890198,503752.936834
2017,514724.472012,507393.638274
2018,518232.960318,510960.773251
2019,521522.168106,514308.158535
2020,524811.375894,517655.078399
2021,528027.490175,520928.44306
2022,531170.51095,524128.256212
2023,534167.344712,527181.428012
2024,537091.084968,530161.055601
2025,540087.91873,533213.329598
2026,543084.752492,536265.160074
2027,546154.67976,539389.644081
2028,549224.607029,542513.691635
2029,551709.786246,545052.558176
2030,554341.152476,547737.18223
2031,557191.799225,550640.660742
2032,560334.82,553836.090624
2033,563624.027788,557177.288247
2034,566986.329082,560591.163457
2035,570202.443363,563858.439064
