year,Base case cost,Wainwright wind turbine design,Modeled wind power
2019,1632364.38617,1868049.0453,1891671.73899
2020,1737125.65421,1945460.25794,1957235.11567
2021,1816414.5662,2002022.17289,2004553.7007
2022,1880343.60876,2046101.25832,2040975.98366
2023,1928344.11441,2077122.57379,2065925.57606
2024,1965753.37098,2099547.48367,2083354.18023
2025,2014527.93686,2131847.37422,2109698.80991
2026,2069152.90699,2169371.29565,2140815.41459
2027,2113618.61067,2198713.26431,2164821.43728
2028,2158452.70562,2228655.77146,2189481.58733
2029,2212356.24285,2266154.83239,2220734.12826
2030,2245081.66753,2286176.36346,2236593.23726
2031,2301202.1308,2326329.94727,2270601.31592
2032,2364612.9404,2373115.21675,2310781.57117
2033,2423583.31949,2416536.04129,2348153.22585
2034,2489069.98467,2465804.71022,2390910.95797
2035,2531698.84853,2495891.40395,2416565.098
2036,2597254.95254,2545618.17576,2459870.65221
2037,2639647.72438,2575848.33228,2485755.87146
2038,2705855.09154,2626597.02627,2530168.91077
