year,Base case diesel consumed,Modeled residential energy efficiency
2017,131413.282906,105316.483512
2018,133106.531449,107009.732055
2019,133670.94763,107574.148236
2020,134235.363811,108138.564417
2021,135364.196173,109267.396779
2022,135364.196173,109267.396779
2023,135364.196173,109267.396779
2024,134799.779992,108702.980598
2025,134235.363811,108138.564417
2026,134235.363811,108138.564417
2027,134235.363811,108138.564417
2028,134235.363811,108138.564417
2029,130284.450544,104187.65115
2030,127462.36964,101365.570245
2031,125769.121097,99672.3217026
2032,126897.953459,100801.154064
2033,128591.202001,102494.402607
2034,130284.450544,104187.65115
2035,130848.866725,104752.067331
2036,130284.450544,104187.65115
