year,Base case cost,Modeled biomass for heat (cordwood)
2017,635965.206079,845934.872948
2018,710256.246079,896465.97406
2019,809310.966079,965410.854192
2020,858838.326079,997835.190406
2021,891856.566079,1018150.80216
2022,919371.766079,1034493.44407
2023,935880.886079,1042791.83469
2024,949638.486079,1049147.32044
2025,968899.126079,1059661.29926
2026,990911.286079,1072297.15932
2027,1007420.40608,1080949.30796
2028,1023929.52608,1089684.77555
2029,1043190.16608,1100536.12428
2030,1054196.24608,1105363.38712
2031,1076208.40608,1118406.30682
2032,,
2033,,
2034,,
2035,,
2036,,
