year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,206818.95,2451.11,275151.73,131413.28
2018,208308.73,2472.44,275151.73,133106.53
2019,211578.91,2480.28,275151.73,133670.95
2020,208618.95,2488.5,275151.73,134235.36
2021,209296.2,2499.69,275151.73,135364.2
2022,209651.11,2502.05,275151.73,135364.2
2023,209188.75,2501.03,275151.73,135364.2
2024,209481.69,2493.07,275151.73,134799.78
2025,209595.01,2486.59,275151.73,134235.36
2026,209499.07,2482.38,275151.73,134235.36
2027,209551.0,2484.94,275151.73,134235.36
2028,209548.36,2487.52,275151.73,134235.36
2029,209996.3,2440.21,275151.73,130284.45
2030,210471.03,2404.39,275151.73,127462.37
2031,210700.46,2381.75,275151.73,125769.12
2032,210543.76,,,126897.95
2033,210314.26,,,128591.2
2034,210081.76,,,130284.45
2035,209927.02,,,130848.87
2036,210081.93,,,130284.45
