year,Base case cost,Modeled biomass for heat (pellet)
2017,635965.206079,802391.912169
2018,710256.246079,853275.625604
2019,809310.966079,921874.176252
2020,858838.326079,955190.411752
2021,891856.566079,976776.97324
2022,919371.766079,994484.01223
2023,935880.886079,1004384.81907
2024,949638.486079,1012366.78202
2025,968899.126079,1024317.31408
2026,990911.286079,1038272.59431
2027,1007420.40608,1048343.19636
2028,1023929.52608,1058453.78946
2029,1043190.16608,1070566.25084
2030,1054196.24608,1076828.40712
2031,1076208.40608,1090979.06603
2032,,
2033,,
2034,,
2035,,
2036,,
