year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,275152.0,196281.45205
2018,275152.0,196281.45205
2019,275152.0,196281.45205
2020,275152.0,196281.45205
2021,275152.0,196281.45205
2022,275152.0,196281.45205
2023,275152.0,196281.45205
2024,275152.0,196281.45205
2025,275152.0,196281.45205
2026,275152.0,196281.45205
2027,275152.0,196281.45205
2028,275152.0,196281.45205
2029,275152.0,196281.45205
2030,275152.0,196281.45205
2031,275152.0,196281.45205
2032,,
2033,,
2034,,
2035,,
2036,,
