year,Base case cost,Modeled water and wastewater efficiency
2017,75738.8960471,144713.995846
2018,84794.8083204,148959.095953
2019,96836.5106404,155354.520481
2020,103128.314032,157751.943211
2021,107805.614407,159061.222434
2022,111798.997834,159934.844051
2023,114465.302466,159919.717206
2024,117005.508836,159859.681792
2025,119643.318451,159912.009052
2026,122968.257926,160490.791446
2027,126307.229038,161121.730357
2028,129521.978891,161706.036789
2029,131481.580181,161439.895742
2030,132770.557292,160741.776608
2031,135976.346423,161432.308541
