year,Base case diesel consumed,False pass heat recovery
2019,55995.0,50722.0
2020,55995.0,50722.0
2021,55995.0,50722.0
2022,55995.0,50722.0
2023,55995.0,50722.0
2024,55995.0,50722.0
2025,55995.0,50722.0
2026,55995.0,50722.0
2027,55995.0,50722.0
2028,55995.0,50722.0
2029,55995.0,50722.0
2030,55995.0,50722.0
2031,55995.0,50722.0
2032,55995.0,50722.0
2033,55995.0,50722.0
2034,55995.0,50722.0
2035,55995.0,50722.0
2036,55995.0,50722.0
2037,55995.0,50722.0
2038,55995.0,50722.0
