year,Base case diesel consumed,Modeled solar power
2020,50385.6815196,49690.8552065
2021,50385.6815196,49696.413817
2022,50385.6815196,49701.9279587
2023,50385.6815196,49707.3979871
2024,50385.6815196,49712.8242554
2025,50385.6815196,49718.2071135
2026,50385.6815196,49723.5469088
2027,50385.6815196,49728.8439857
2028,50385.6815196,49734.0986859
2029,50385.6815196,49739.3113486
2030,50385.6815196,49744.48231
2031,50385.6815196,49749.6119036
2032,50385.6815196,49754.7004606
2033,50385.6815196,49759.748309
2034,50385.6815196,49764.7557747
2035,50385.6815196,49769.7231807
2036,50385.6815196,49774.6508474
2037,50385.6815196,49779.5390928
2038,50385.6815196,49784.3882322
2039,50385.6815196,49789.1985785
