year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,41717.8715766,28499.6869667
2018,41717.8715766,28499.6869667
2019,41717.8715766,28499.6869667
2020,41717.8715766,28499.6869667
2021,41717.8715766,28499.6869667
2022,41717.8715766,28499.6869667
2023,41717.8715766,28499.6869667
2024,41717.8715766,28499.6869667
2025,41717.8715766,28499.6869667
2026,41717.8715766,28499.6869667
2027,41717.8715766,28499.6869667
2028,41717.8715766,28499.6869667
2029,41717.8715766,28499.6869667
2030,41717.8715766,28499.6869667
2031,41717.8715766,28499.6869667
