year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.25
2004,,1.59,2.25
2005,,2.08,2.4
2009,,,3.08
2010,,,3.45
2011,,3.25,3.98
2012,,3.67,4.7
2013,,3.65,4.5
2014,,,4.0
2016,,1.64,2.36
2017,,2.02,2.74
2018,,2.3,3.02
2019,,2.7,3.42
2020,,2.89,3.61
2021,,3.02,3.74
2022,,3.12,3.84
2023,,3.19,3.91
2024,,3.25,3.97
2025,,3.31,4.03
2026,,3.4,4.12
2027,,3.47,4.19
2028,,3.53,4.25
2029,,3.61,4.33
2030,,3.65,4.37
2031,,3.74,4.46
2032,,3.83,4.55
2033,,3.92,4.64
2034,,4.01,4.73
2035,,4.07,4.79
2036,,4.17,4.89
2037,,4.22,4.94
2038,,4.32,5.04
2039,,4.39,5.11
2040,,4.5,5.22
