year,Base case cost,Modeled non-residential energy efficiency
2017,205707.566151,246540.417096
2018,226256.812588,263293.623935
2019,255612.878926,287909.07971
2020,269557.010437,298862.062034
2021,279097.731997,305935.348975
2022,286436.748581,311084.867318
2023,291574.06019,314309.844821
2024,295977.470141,316914.00571
2025,300380.880092,319548.852723
2026,306985.995018,324170.38421
2027,312123.306627,327516.701872
2028,316526.716578,330239.359027
2029,322397.929846,334294.403407
2030,325333.536479,335767.745791
2031,331938.651406,340528.900068
