year,Base case diesel consumed,False pass hydroelectric feasibility study and conceptual design
2021,50385.6815196,19328.1080298
2022,50385.6815196,19328.1080298
2023,50385.6815196,19328.1080298
2024,50385.6815196,19328.1080298
2025,50385.6815196,19328.1080298
2026,50385.6815196,19328.1080298
2027,50385.6815196,19328.1080298
2028,50385.6815196,19328.1080298
2029,50385.6815196,19328.1080298
2030,50385.6815196,19328.1080298
2031,50385.6815196,19328.1080298
2032,50385.6815196,19328.1080298
2033,50385.6815196,19328.1080298
2034,50385.6815196,19328.1080298
2035,50385.6815196,19328.1080298
2036,50385.6815196,19328.1080298
2037,50385.6815196,19328.1080298
2038,50385.6815196,19328.1080298
2039,50385.6815196,19328.1080298
2040,50385.6815196,19328.1080298
2041,50385.6815196,19328.1080298
2042,50385.6815196,19328.1080298
2043,50385.6815196,19328.1080298
2044,50385.6815196,19328.1080298
2045,50385.6815196,19328.1080298
2046,50385.6815196,19328.1080298
2047,50385.6815196,19328.1080298
2048,50385.6815196,19328.1080298
2049,50385.6815196,19328.1080298
2050,50385.6815196,19328.1080298
2051,50385.6815196,19328.1080298
2052,50385.6815196,19328.1080298
2053,50385.6815196,19328.1080298
2054,50385.6815196,19328.1080298
2055,50385.6815196,19328.1080298
2056,50385.6815196,19328.1080298
2057,50385.6815196,19328.1080298
2058,50385.6815196,19328.1080298
2059,50385.6815196,19328.1080298
2060,50385.6815196,19328.1080298
2061,50385.6815196,19328.1080298
2062,50385.6815196,19328.1080298
2063,50385.6815196,19328.1080298
2064,50385.6815196,19328.1080298
2065,50385.6815196,19328.1080298
2066,50385.6815196,19328.1080298
2067,50385.6815196,19328.1080298
2068,50385.6815196,19328.1080298
2069,50385.6815196,19328.1080298
2070,50385.6815196,19328.1080298
