year,Base case cost,Modeled solar power
2020,145614.619592,150153.42466
2021,152164.758189,156492.815481
2022,157203.326341,161345.695455
2023,160730.324048,164711.479913
2024,163753.464939,167583.850513
2025,166776.60583,170459.747161
2026,171311.317167,174830.798669
2027,174838.314873,178210.963719
2028,177861.455764,181097.190043
2029,181892.310286,184981.426853
2030,183907.737547,186879.244606
2031,188442.448883,191267.421059
2032,192977.16022,195658.919214
2033,197511.871557,200053.66919
2034,202046.582894,204451.602623
2035,205069.723785,207359.560937
2036,210108.291937,212261.260772
2037,212627.576013,214677.069735
2038,217666.144165,219584.635467
2039,221193.141871,223001.487013
