year,Base case cost,False pass hydroelectric feasibility study and conceptual design
2021,152164.758189,327570.708664
2022,157203.326341,324705.622146
2023,160730.324048,321283.423812
2024,163753.464939,317752.743783
2025,166776.60583,314336.556246
2026,171311.317167,311709.343621
2027,174838.314873,308739.875577
2028,177861.455764,305651.31503
2029,181892.310286,303118.328641
2030,183907.737547,299784.144214
2031,188442.448883,297677.875904
2032,192977.16022,295668.586478
2033,197511.871557,293754.003012
2034,202046.582894,291931.905827
2035,205069.723785,289522.961392
2036,210108.291937,288105.106548
2037,212627.576013,285644.776515
2038,217666.144165,284397.172004
2039,221193.141871,282554.545964
2040,226735.566838,281695.026783
2041,226735.566838,278430.90506
2042,226735.566838,275243.286189
2043,226735.566838,272130.377106
2044,226735.566838,269090.426851
2045,226735.566838,266121.725435
2046,226735.566838,263222.602955
2047,226735.566838,260391.42867
2048,226735.566838,257626.610008
2049,226735.566838,254926.591793
2050,226735.566838,252289.855257
2051,226735.566838,249714.917237
2052,226735.566838,247200.329317
2053,226735.566838,244744.677071
2054,226735.566838,242346.579158
2055,226735.566838,240004.686667
2056,226735.566838,237717.682282
2057,226735.566838,235484.279555
2058,226735.566838,233303.222225
2059,226735.566838,231173.28341
2060,226735.566838,229093.265029
2061,226735.566838,227061.997096
2062,226735.566838,225078.336989
2063,226735.566838,223141.16892
2064,226735.566838,221249.403234
2065,226735.566838,219401.975822
2066,226735.566838,217597.847448
2067,226735.566838,215836.003366
2068,226735.566838,214115.45249
2069,226735.566838,212435.227043
2070,226735.566838,210794.381874
